,AUC-ROC,Brier Score,Precision@500,Recall@500,C-index
Cox PH,0.6595219198689191,0.08270851435558256,0.002,0.0003243593902043464,0.7724494920573602
Random Forest,0.5693950797009822,0.30494792655466585,0.01,0.001621796951021732,
Logistic Regression,0.6428480127450099,0.12228050873073246,0.02,0.003243593902043464,
